team,year,total_attempted,long_two_attempted,long_two_percent
Rockets,2013,7149,296,4.1
Trail Blazers,2013,7149,296,4.1
76ers,2013,7148,413,5.8
Suns,2013,6843,411,6
Hawks,2013,7238,509,7
Nuggets,2013,7042,526,7.5
Lakers,2013,6974,599,8.6
Pistons,2013,7123,617,8.7
Warriors,2013,7587,677,8.9
Nets,2013,7291,670,9.2
Raptors,2013,7235,665,9.2
Mavericks,2013,7464,706,9.5
Heat,2013,7715,731,9.5
Thunder,2013,8325,789,9.5
Jazz,2013,6650,649,9.8
Kings,2013,6766,680,10.1
Bucks,2013,6735,681,10.1
Timberwolves,2013,7173,735,10.2
Hornets,2013,7028,723,10.3
Grizzlies,2013,7340,767,10.4
Pacers,2013,7988,868,10.9
Bulls,2013,6970,790,11.3
Spurs,2013,8704,1003,11.5
Knicks,2013,6739,787,11.7
Cavaliers,2013,6954,811,11.7
Celtics,2013,6881,824,12
Clippers,2013,7863,961,12.2
Wizards,2013,7795,969,12.4
Magic,2013,6782,872,12.9
