team,year,total_attempted,long_two_attempted,long_two_percent
Nuggets,2012,7490,482,6.4
Trail Blazers,2012,7267,575,7.9
Rockets,2012,7267,575,7.9
76ers,2012,6894,573,8.3
Bucks,2012,7503,654,8.7
Spurs,2012,8399,740,8.8
Pacers,2012,7937,710,8.9
Pistons,2012,6638,588,8.9
Mavericks,2012,6892,631,9.2
Hornets,2012,6649,625,9.4
Cavaliers,2012,6901,665,9.6
Nets,2012,7127,691,9.7
Thunder,2012,7401,722,9.8
Lakers,2012,6944,692,10
Warriors,2012,7853,795,10.1
Kings,2012,6904,709,10.3
Wizards,2012,6692,698,10.4
Knicks,2012,7661,834,10.9
Bulls,2012,7657,833,10.9
Magic,2012,6904,768,11.1
Heat,2012,8108,931,11.5
Clippers,2012,7058,828,11.7
Celtics,2012,6872,840,12.2
Hawks,2012,7106,874,12.3
Jazz,2012,6710,828,12.3
Raptors,2012,6682,820,12.3
Grizzlies,2012,7902,1008,12.8
Timberwolves,2012,6702,878,13.1
Suns,2012,6917,931,13.5
