team,year,total_attempted,long_two_attempted,long_two_percent
76ers,2010,7183,603,8.4
Rockets,2010,6973,663,9.5
Trail Blazers,2010,6973,663,9.5
Magic,2010,6864,674,9.8
Clippers,2010,6590,659,10
Pacers,2010,7187,728,10.1
Spurs,2010,7089,728,10.3
Kings,2010,6977,728,10.4
Thunder,2010,7964,842,10.6
Nuggets,2010,6994,745,10.7
Suns,2010,6844,736,10.8
Bucks,2010,6543,711,10.9
Knicks,2010,7197,792,11
Pistons,2010,6646,741,11.1
Grizzlies,2010,7893,881,11.2
Cavaliers,2010,6647,749,11.3
Mavericks,2010,8035,917,11.4
Nets,2010,6638,774,11.7
Warriors,2010,7047,827,11.7
Lakers,2010,7533,883,11.7
Jazz,2010,6590,781,11.9
Hornets,2010,6364,762,12
Bulls,2010,7876,963,12.2
Celtics,2010,6911,871,12.6
Timberwolves,2010,7014,882,12.6
Wizards,2010,6888,890,12.9
Raptors,2010,6755,952,14.1
Heat,2010,7838,1157,14.8
Hawks,2010,7338,1201,16.4
