Rk,Team,Overall
1,Warriors,73-9
2,Spurs,67-15
3,Cavaliers,57-25
4,Raptors,56-26
5,Thunder,55-27
6,Clippers,53-29
7,Hawks,48-34
8,Celtics,48-34
9,Hornets,48-34
10,Heat,48-34
11,Pacers,45-37
12,Pistons,44-38
13,Trail Blazers,44-38
14,Mavericks,42-40
15,Grizzlies,42-40
16,Bulls,42-40
17,Rockets,41-41
18,Wizards,41-41
19,Jazz,40-42
20,Magic,35-47
21,Nuggets,33-49
22,Bucks,33-49
23,Kings,33-49
24,Knicks,32-50
25,Pelicans,30-52
26,Timberwolves,29-53
27,Suns,23-59
28,Nets,21-61
29,Lakers,17-65
30,76ers,10-72
