Rk,Team,Overall
1,Warriors,67-15
2,Hawks,60-22
3,Rockets,56-26
4,Clippers,56-26
5,Grizzlies,55-27
6,Spurs,55-27
7,Cavaliers,53-29
8,Trail Blazers,51-31
9,Bulls,50-32
10,Mavericks,50-32
11,Raptors,49-33
12,Wizards,46-36
13,Thunder,45-37
14,Bucks,41-41
15,Celtics,40-42
16,Suns,39-43
17,Nets,38-44
18,Pacers,38-44
19,Jazz,38-44
20,Heat,37-45
21,Hornets,33-49
22,Pistons,32-50
23,Nuggets,30-52
24,Kings,29-53
25,Magic,25-57
26,Lakers,21-61
27,76ers,18-64
28,Knicks,17-65
29,Timberwolves,16-66
