Rk,Team,Overall
1,Heat,66-16
2,Thunder,60-22
3,Spurs,58-24
4,Nuggets,57-25
5,Clippers,56-26
6,Grizzlies,56-26
7,Knicks,54-28
8,Nets,49-33
9,Pacers,49-32
10,Warriors,47-35
11,Bulls,45-37
12,Rockets,45-37
13,Lakers,45-37
14,Hawks,44-38
15,Jazz,43-39
16,Celtics,41-40
17,Mavericks,41-41
18,Bucks,38-44
19,76ers,34-48
20,Raptors,34-48
21,Trail Blazers,33-49
22,Timberwolves,31-51
23,Pistons,29-53
24,Wizards,29-53
25,Kings,28-54
26,Pelicans,27-55
27,Suns,25-57
28,Cavaliers,24-58
29,Hornets,21-61
30,Magic,20-62
