Rk,Team,Overall
1,Bulls,62-20
2,Spurs,61-21
3,Heat,58-24
4,Mavericks,57-25
5,Lakers,57-25
6,Celtics,56-26
7,Thunder,55-27
8,Magic,52-30
9,Nuggets,50-32
10,Trail Blazers,48-34
11,Grizzlies,46-36
12,Hornets,46-36
13,Hawks,44-38
14,Rockets,43-39
15,Knicks,42-40
16,76ers,41-41
17,Suns,40-42
18,Jazz,39-43
19,Pacers,37-45
20,Warriors,36-46
21,Bucks,35-47
22,Clippers,32-50
23,Pistons,30-52
24,Nets,24-58
25,Kings,24-58
26,Wizards,23-59
27,Raptors,22-60
28,Cavaliers,19-63
29,Timberwolves,17-65
