Rk,Team,Overall
1,Spurs,62-20
2,Thunder,59-23
3,Clippers,57-25
4,Pacers,56-26
5,Rockets,54-28
6,Heat,54-28
7,Trail Blazers,54-28
8,Warriors,51-31
9,Grizzlies,50-32
10,Mavericks,49-33
11,Bulls,48-34
12,Raptors,48-34
13,Suns,48-34
14,Nets,44-38
15,Wizards,44-38
16,Timberwolves,40-42
17,Hawks,38-44
18,Knicks,37-45
19,Nuggets,36-46
20,Cavaliers,33-49
21,Pistons,29-53
22,Kings,28-54
23,Lakers,27-55
24,Celtics,25-57
25,Jazz,25-57
26,Magic,23-59
27,76ers,19-63
28,Bucks,15-67
